component,route,plan_score,plan_verdict,plan_layer,plan_role,plan_parent,plan_tier,my_value,my_built,my_disposition,my_hub,defective,flags,plan_enhance,my_upgrade
PortfolioDriftMonitor,/portal/portfolio-drift,8.5,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,7.9,8.3,EMBED — named tab,Investments & Portfolio,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
TimeMachineMethod,/portal/time-machine-method,8.5,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,5.3,5.7,EMBED — accordion section,IUL & Policy Engineering,False,,To 10: wire it to live client/carrier data.,"add a tRPC procedure so scenarios save against the client record ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
AdvisorChat,/portal/advisor-chat,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,5.4,6.8,EMBED — accordion section,Advisor Practice & Sales Enablement,False,literal-chart-data,To 9.7: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
AdvisorDirectory,/portal/advisor-directory,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,7.5,7.9,EMBED — named tab,Advisor Practice & Sales Enablement,False,,To 9.7: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
ClientHealthDashboard,/portal/client-health,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Dashboards / Internal,6.0,7.9,EMBED — accordion section,Mortgage & Debt Elimination,True,frozen-chart,To 9.7: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
AnnuityHiddenFee,/portal/annuity-fee-detector,8.4,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,2.5,2.9,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
AiAssist,/portal/ai,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,7.2,7.6,EMBED — named tab,AI Brain & Intelligence,False,,To 9.7: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
ClientSelfServicePortal,/portal/client-self-service,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,5.9,6.3,EMBED — accordion section,Mortgage & Debt Elimination,False,,To 9.7: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
IndexBacktester,/portal/index-backtester,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,5.9,8.8,EMBED — accordion section,Cross-Cutting Reference Library,True,frozen-chart|literal-chart-data,To 9.7: add a discovery question to open the conversation.,"register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
MarketScenarioStressTest,/portal/market-stress-test,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,7.9,8.3,EMBED — named tab,Investments & Portfolio,False,,To 9.7: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
SavedScenariosHub,/portal/saved-scenarios,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,6.5,7.9,EMBED — accordion section,Scenario Lab & Comparison,False,literal-chart-data,To 9.7: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
ScenarioAdjustments,/portal/scenarios,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,7.0,8.6,EMBED — named tab,Scenario Lab & Comparison,False,fabricated-constant,To 9.7: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
ScenarioSideBySide,/portal/scenario-side-by-side,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,4.6,7.5,EMBED — reference card,Scenario Lab & Comparison,True,frozen-chart|literal-chart-data,To 9.7: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
BackdoorRothGuide,,8.4,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,Tax / Income Lever,0.5,1.7,UPGRADE or fold into library,Tax Strategy,True,frozen-chart,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RothConversionAnalyzer,/portal/roth-conversion-analyzer,8.4,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,Tax / Income Lever,2.1,2.5,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SafeWithdrawalCalc,/portal/safe-withdrawal-rate,8.4,KEEP-L1,L1 — Platform,TOGGLE,WithdrawalSequencing,Tax / Income Lever,0.5,2.4,FIX FIRST — defective output,Retirement Income & Drawdown,True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Section199ADeductionOptimizer,/portal/199a-optimizer,8.4,KEEP-L1,L1 — Platform,TOGGLE,QBICalculator,Tax / Income Lever,0.5,2.6,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant|literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Section199AOptimizer,/portal/section-199a,8.4,KEEP-L1,L1 — Platform,TOGGLE,QBICalculator,Tax / Income Lever,1.0,2.6,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxBracketNavigator,/portal/tax-bracket-navigator,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,0.5,2.7,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant|literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxCreditOptimizer,/portal/tax-credits,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxDeferredExchangeTimeline,/portal/tax-deferred-exchange,8.4,KEEP-L1,L1 — Platform,PARENT,—,Tax / Income Lever,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxEfficientWithdrawalSequencer,/portal/withdrawal-sequencer,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,0.8,2.2,UPGRADE or fold into library,Retirement Income & Drawdown,False,literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxStrategyOptimizer,/portal/tax-optimizer,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,2.1,2.5,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxableAccountOptimizer,/portal/taxable-account,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxableEstateCalculator,/portal/taxable-estate,8.4,KEEP-L1,L1 — Platform,TOGGLE,EstateTax,Tax / Income Lever,1.0,2.6,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
VolatilityHarvestingEngine,/portal/volatility-harvesting,8.4,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WithdrawalRateOptimizer,/portal/withdrawal-rate,8.4,KEEP-L1,L1 — Platform,TOGGLE,WithdrawalSequencing,Tax / Income Lever,1.0,2.6,UPGRADE or fold into library,Retirement Income & Drawdown,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WarRoom,/portal/war-room,8.3,KEEP-L1,L1 — Platform,STANDALONE,—,Dashboards / Internal,4.7,5.1,EMBED — reference card,Reports & Deliverables,False,,To 9.6: tie the output explicitly to an IUL solution.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
LifetimeGuaranteedIncome,/portal/lifetime-income,8.3,KEEP-L1,L1 — Platform,TOGGLE,WithdrawalSequencing,Guaranteed Income / Annuity,1.7,2.1,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SocialSecurityMaximizer,/portal/social-security-maximizer,8.3,KEEP-L1,L1 — Platform,TOGGLE,SocialSecurityBridge,Guaranteed Income / Annuity,0.6,2.2,UPGRADE or fold into library,Retirement Income & Drawdown,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SocialSecurityOptimizer,/portal/social-security,8.3,KEEP-L1,L1 — Platform,TOGGLE,SocialSecurityBridge,Guaranteed Income / Annuity,2.1,2.5,UPGRADE or fold into library,Retirement Income & Drawdown,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CompetitiveAnalysis,/portal/competitive,8.2,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,5.2,7.1,EMBED — accordion section,Advisor Practice & Sales Enablement,True,frozen-chart,To 9.5: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
HeartfireLegacy,/portal/heartfire-legacy,8.2,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,1.1,1.5,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ClientPresentationBuilder,/portal/client-presentation,8.1,KEEP-L1,L1 — Platform,TOGGLE,SeminarGenerator,Client Sales Tool,0.5,1.7,UPGRADE or fold into library,Mortgage & Debt Elimination,False,literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EstateFreezeComparison,/portal/estate-freeze-comparison,8.1,KEEP-L1,L1 — Platform,TOGGLE,EstateTax,Client Sales Tool,1.0,1.4,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SharedSlidesViewer,/shared-slides/:token,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,1.8,1.8,UPGRADE or fold into library,Advisor Practice & Sales Enablement,False,,To 10: add a market-vs-IUL outcome chart.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
BeneficiaryIRAPlanner,/portal/beneficiary-ira,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,0.5,2.1,UPGRADE or fold into library,"Estate, Trust & Legacy",False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CRUTDeepDive,/portal/crut-deep-dive,8.1,KEEP-L1,L1 — Platform,TOGGLE,CharitableLeadTrustEngine,Estate / Legacy,0.5,1.8,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CharitableLeadTrustEngine,/portal/clt-engine,8.1,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,0.6,2.2,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CharitableRemainderTrustEngine,/portal/crt-engine,8.1,KEEP-L1,L1 — Platform,TOGGLE,CharitableLeadTrustEngine,Estate / Legacy,0.5,2.5,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant|literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CharitableRemainderUniTrust,/portal/charitable-remainder-unitrust,8.1,KEEP-L1,L1 — Platform,TOGGLE,CharitableLeadTrustEngine,Estate / Legacy,0.5,2.1,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DigitalEstatePlanner,/portal/digital-estate-planner,8.1,KEEP-L1,L1 — Platform,TOGGLE,EstateFlowChart,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DynastyTrustPlanner,/portal/dynasty-trust-planner,8.1,KEEP-L1,L1 — Platform,TOGGLE,MultiGenWealthTransfer,Estate / Legacy,1.3,1.7,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EstatePlanningSimulator,/portal/estate-planning-sim,8.1,KEEP-L1,L1 — Platform,TOGGLE,EstateFlowChart,Estate / Legacy,2.1,2.5,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EstatePlanningTimeline,/portal/estate-timeline,8.1,KEEP-L1,L1 — Platform,TOGGLE,EstateFlowChart,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
GRATCalculator,/portal/grat-calculator,8.1,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,0.5,1.9,FIX FIRST — defective output,"Estate, Trust & Legacy",True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
GSTTrustPlanner,/portal/gst-trust,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
GraniteStateTrustPlanner,/portal/state-trust-planning,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,1.0,2.4,UPGRADE or fold into library,"Estate, Trust & Legacy",False,literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
IDGTAdvancedModeler,/portal/idgt-advanced,8.1,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,0.5,1.8,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
IncentiveTrustDesigner,/portal/incentive-trust,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,2.7,3.1,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
InheritedRothPlanner,/portal/inherited-roth,8.1,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
InternationalTrustPlanner,/portal/international-trust,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,0.5,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MultiGenerationalRothStrategy,/portal/multi-gen-roth,8.1,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,Estate / Legacy,1.8,2.2,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MultiGenerationalWealthEngine,/portal/multi-generational-wealth,8.1,KEEP-L1,L1 — Platform,TOGGLE,MultiGenWealthTransfer,Estate / Legacy,0.5,2.2,UPGRADE or fold into library,"Estate, Trust & Legacy",False,fabricated-constant|literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
QPRTAdvancedPlanner,/portal/qprt-advanced,8.1,KEEP-L1,L1 — Platform,TOGGLE,QPRTCalculator,Estate / Legacy,1.8,2.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RealEstateDepreciationRecapture,/portal/depreciation-recapture,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,Real Estate Intelligence,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RealEstateStackingStrategy,/portal/re-stacking,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,1.8,2.2,UPGRADE or fold into library,Real Estate Intelligence,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RealEstatesyndicationAnalyzer,/portal/real-estate-syndication,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Estate / Legacy,1.1,2.5,UPGRADE or fold into library,Real Estate Intelligence,False,literal-chart-data,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SLATDeepDive,/portal/slat-deep-dive,8.1,KEEP-L1,L1 — Platform,PARENT,—,Estate / Legacy,0.5,1.4,UPGRADE or fold into library,"Estate, Trust & Legacy",True,frozen-chart,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TrustFundingChecklist,/portal/trust-funding,8.1,KEEP-L1,L1 — Platform,TOGGLE,EstateFlowChart,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LTCCostCalc,/portal/ltc-cost,8.1,KEEP-L1,L1 — Platform,TOGGLE,LivingBenefitsProbability,Insurance (other),1.9,2.3,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 9.4: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LifeInsuranceNeedsCalc,/portal/life-insurance-needs,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Insurance (other),1.2,2.8,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,fabricated-constant,To 9.4: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LongTermCareHybrid,/portal/long-term-care-hybrid,8.1,KEEP-L1,L1 — Platform,TOGGLE,LivingBenefitsProbability,Insurance (other),1.8,2.2,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 9.4: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
UmbrellaInsuranceCalc,/portal/umbrella-insurance,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Insurance (other),1.5,1.9,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 9.4: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DivorceCalculator,/portal/divorce-calculator,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,3.9,5.3,EMBED — reference card,"Risk, Divorce & Protection",False,literal-chart-data,To 9.4: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EducationHub,/portal/education,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,3.2,5.1,UPGRADE or fold into library,Education & Knowledge,True,frozen-chart,To 9.4: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
Onboarding,/onboarding,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,4.6,5.0,EMBED — reference card,"Discovery, Calibration & Onboarding",False,,To 9.4: add a market-vs-IUL outcome chart.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
TimeMachineAG49,/portal/time-machine-ag49,8.1,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,5.2,5.6,EMBED — accordion section,IUL & Policy Engineering,False,,To 9.4: wire it to live client/carrier data.,"add a tRPC procedure so scenarios save against the client record ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
AdvisorySummary,/portal/advisory-summary,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,5.6,7.5,EMBED — accordion section,Advisor Practice & Sales Enablement,True,frozen-chart,To 9.3: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
LeadGenerator,/portal/lead-generator,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,7.0,7.4,EMBED — named tab,Client Management & CRM,False,,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
Pipeline,/portal/pipeline,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,5.8,6.2,EMBED — accordion section,Client Management & CRM,False,,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
ReferralTracker,/portal/referral-tracker,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,6.0,6.4,EMBED — accordion section,Client Management & CRM,False,,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
AuditTimeline,/portal/audit-timeline,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Compliance / Reporting Ops,5.9,7.8,EMBED — accordion section,Compliance & Supervision,True,frozen-chart,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
ComplianceAlerts,/portal/compliance-alerts,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Compliance / Reporting Ops,4.2,6.1,EMBED — reference card,Compliance & Supervision,True,frozen-chart,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
ComplianceAuditCenter,/portal/compliance-audit,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Compliance / Reporting Ops,4.8,6.7,EMBED — reference card,Compliance & Supervision,True,frozen-chart,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
ComplianceExport,/portal/compliance,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Compliance / Reporting Ops,7.1,7.5,EMBED — named tab,Compliance & Supervision,False,,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
ComplianceMonitoringDashboard,/portal/compliance-monitoring,8.0,KEEP-L1,L1 — Platform,STANDALONE,—,Compliance / Reporting Ops,5.0,6.9,EMBED — accordion section,Compliance & Supervision,True,frozen-chart,To 9.3: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
