token,count,file_count,category
#050a12,1,1,Other Hardcoded Token
#060e1a,1,1,Other Hardcoded Token
#07060d,1,1,Other Hardcoded Token
#080f1e,1,1,Other Hardcoded Token
#08101c,1,1,Other Hardcoded Token
#08101d,1,1,Other Hardcoded Token
#081221,1,1,Other Hardcoded Token
#0891b2,1,1,Other Hardcoded Token
#090710,1,1,Other Hardcoded Token
#090712,1,1,Other Hardcoded Token
#0a0f1a,1,1,Other Hardcoded Token
#0a111c,1,1,Other Hardcoded Token
#0a1324,1,1,Other Hardcoded Token
#0a1b28,1,1,Other Hardcoded Token
#0a2e2e,1,1,Other Hardcoded Token
#0c1425,1,1,Other Hardcoded Token
#0d1b30,1,1,Other Hardcoded Token
#0d1e3a,1,1,Other Hardcoded Token
#0d2e1a,1,1,Other Hardcoded Token
#0d3b3b,1,1,Other Hardcoded Token
#0e4429,1,1,Other Hardcoded Token
#102a1a,1,1,Other Hardcoded Token
#111111,1,1,Legacy Surface / Neutral
#11182700,1,1,Legacy Surface / Neutral
#15803d,1,1,Other Hardcoded Token
#1a1025,1,1,Other Hardcoded Token
#1a153a,1,1,Other Hardcoded Token
#1a2a42,1,1,Other Hardcoded Token
#1a3a2a,1,1,Other Hardcoded Token
#1c1c1c,1,1,Other Hardcoded Token
#1da34d,1,1,Other Hardcoded Token
#1e324f,1,1,Legacy Surface / Neutral
#222,1,1,Other Hardcoded Token
#22334a,1,1,Other Hardcoded Token
#22c55e33,1,1,Finance Positive / Legacy Green
#26a641,1,1,Other Hardcoded Token
#2a1010,1,1,Other Hardcoded Token
#2a1025,1,1,Other Hardcoded Token
#2a1a0a,1,1,Other Hardcoded Token
#2a2010,1,1,Other Hardcoded Token
#2a3520,1,1,Other Hardcoded Token
#2a4a7f,1,1,Other Hardcoded Token
#2a4d7a,1,1,Other Hardcoded Token
#2dd4bf,1,1,Other Hardcoded Token
#39d353,1,1,Other Hardcoded Token
#3a103b,1,1,Other Hardcoded Token
#3a1520,1,1,Other Hardcoded Token
#3a1a4c,1,1,Other Hardcoded Token
#3a2010,1,1,Other Hardcoded Token
#4b5e78,1,1,Other Hardcoded Token
#4f46e5,1,1,Other Hardcoded Token
#582,1,1,Other Hardcoded Token
#5a7a9e,1,1,Other Hardcoded Token
#5c7394,1,1,Other Hardcoded Token
#6366f130,1,1,Other Hardcoded Token
#65a30d,1,1,Other Hardcoded Token
#67e8f9,1,1,Other Hardcoded Token
#680,1,1,Other Hardcoded Token
#6b21a8,1,1,Other Hardcoded Token
#6ba3ff,1,1,Other Hardcoded Token
#78350f,1,1,Other Hardcoded Token
#7dd3fc,1,1,Other Hardcoded Token
#7f1d1d,1,1,Other Hardcoded Token
#884,1,1,Other Hardcoded Token
#8b7bf0,1,1,Other Hardcoded Token
#90b0a0,1,1,Other Hardcoded Token
#90d0c0,1,1,Other Hardcoded Token
#92400e,1,1,Other Hardcoded Token
#94a3b820,1,1,Other Hardcoded Token
#999,1,1,Other Hardcoded Token
#a0a080,1,1,Other Hardcoded Token
#a855f740,1,1,Scoped Purple System
#a8c8b8,1,1,Other Hardcoded Token
#b48600,1,1,Other Hardcoded Token
#b91c1c,1,1,Other Hardcoded Token
#be123c,1,1,Other Hardcoded Token
#c0d4e8,1,1,Other Hardcoded Token
#c8d8e8,1,1,Other Hardcoded Token
#c8dcd0,1,1,Other Hardcoded Token
#ca8a04,1,1,Other Hardcoded Token
#d070a0,1,1,Other Hardcoded Token
#d0b080,1,1,Other Hardcoded Token
#d1fae5,1,1,Other Hardcoded Token
#d4a040,1,1,Other Hardcoded Token
#d946ef,1,1,Other Hardcoded Token
#dbeafe,1,1,Other Hardcoded Token
#dc262615,1,1,Other Hardcoded Token
#dc262633,1,1,Other Hardcoded Token
#dcfce7,1,1,Other Hardcoded Token
#ddd,1,1,Other Hardcoded Token
#e07050,1,1,Other Hardcoded Token
#e0e7ff,1,1,Other Hardcoded Token
#e86c4f,1,1,Other Hardcoded Token
#e8c080,1,1,Other Hardcoded Token
#eab30820,1,1,Other Hardcoded Token
#ec489930,1,1,Other Hardcoded Token
#ede9fe,1,1,Other Hardcoded Token
#ef444415,1,1,Other Hardcoded Token
#ef444420,1,1,Other Hardcoded Token
#ef444430,1,1,Other Hardcoded Token
#ef444433,1,1,Other Hardcoded Token
#ef444480,1,1,Other Hardcoded Token
#f3e8ff,1,1,Other Hardcoded Token
#f59e0b15,1,1,Other Hardcoded Token
#f59e0b20,1,1,Other Hardcoded Token
#f59e0b33,1,1,Other Hardcoded Token
#fb923c,1,1,Other Hardcoded Token
#fca5a5,1,1,Other Hardcoded Token
#fee2e2,1,1,Other Hardcoded Token
#fef2f2,1,1,Other Hardcoded Token
#fef3c7,1,1,Other Hardcoded Token
#ff6644,1,1,Other Hardcoded Token
#ffffff05,1,1,Other Hardcoded Token
bg-amber-200,1,1,Semantic Status / Warning
bg-amber-300,1,1,Semantic Status / Warning
bg-amber-800,1,1,Semantic Status / Warning
bg-blue-200,1,1,Informational Accent
bg-blue-300,1,1,Informational Accent
bg-cyan-300,1,1,Informational Accent
bg-cyan-700,1,1,Informational Accent
bg-cyan-900,1,1,Informational Accent
bg-cyan-950,1,1,Informational Accent
bg-emerald-300,1,1,Finance Positive / Legacy Green
bg-gray-100,1,1,Legacy Surface / Neutral
bg-gray-200,1,1,Legacy Surface / Neutral
bg-green-700,1,1,Finance Positive / Legacy Green
bg-orange-300,1,1,Semantic Status / Warning
bg-orange-700,1,1,Semantic Status / Warning
bg-purple-200,1,1,Scoped Purple System
bg-red-300,1,1,Semantic Status / Warning
bg-rose-300,1,1,Semantic Status / Warning
bg-rose-600,1,1,Semantic Status / Warning
bg-rose-700,1,1,Semantic Status / Warning
bg-rose-950,1,1,Semantic Status / Warning
bg-sky-50,1,1,Informational Accent
bg-sky-950,1,1,Informational Accent
bg-slate-300,1,1,Legacy Surface / Neutral
bg-slate-400,1,1,Legacy Surface / Neutral
bg-teal-300,1,1,Finance Positive / Legacy Green
bg-teal-50,1,1,Finance Positive / Legacy Green
bg-violet-300,1,1,Scoped Purple System
bg-yellow-100,1,1,Semantic Status / Warning
bg-yellow-300,1,1,Semantic Status / Warning
bg-yellow-600,1,1,Semantic Status / Warning
border-blue-100,1,1,Informational Accent
border-cyan-300,1,1,Informational Accent
border-cyan-700,1,1,Informational Accent
border-emerald-900,1,1,Finance Positive / Legacy Green
border-green-300,1,1,Finance Positive / Legacy Green
border-orange-300,1,1,Semantic Status / Warning
border-orange-600,1,1,Semantic Status / Warning
border-rose-200,1,1,Semantic Status / Warning
border-rose-300,1,1,Semantic Status / Warning
border-rose-800,1,1,Semantic Status / Warning
border-sky-200,1,1,Informational Accent
border-sky-800,1,1,Informational Accent
border-slate-900,1,1,Legacy Surface / Neutral
border-slate-950,1,1,Legacy Surface / Neutral
border-teal-300,1,1,Finance Positive / Legacy Green
border-violet-200,1,1,Scoped Purple System
border-yellow-800,1,1,Semantic Status / Warning
from-amber-50,1,1,Semantic Status / Warning
from-blue-400,1,1,Informational Accent
from-fuchsia-500,1,1,Scoped Purple System
from-fuchsia-700,1,1,Scoped Purple System
from-gray-300,1,1,Legacy Surface / Neutral
from-gray-700,1,1,Legacy Surface / Neutral
from-gray-950,1,1,Legacy Surface / Neutral
from-green-300,1,1,Finance Positive / Legacy Green
from-green-50,1,1,Finance Positive / Legacy Green
from-orange-400,1,1,Semantic Status / Warning
from-purple-400,1,1,Scoped Purple System
from-purple-50,1,1,Scoped Purple System
from-red-50,1,1,Semantic Status / Warning
from-rose-400,1,1,Semantic Status / Warning
from-rose-700,1,1,Semantic Status / Warning
from-rose-950,1,1,Semantic Status / Warning
from-sky-500,1,1,Informational Accent
from-slate-400,1,1,Legacy Surface / Neutral
from-teal-400,1,1,Finance Positive / Legacy Green
from-teal-500,1,1,Finance Positive / Legacy Green
from-teal-600,1,1,Finance Positive / Legacy Green
from-violet-700,1,1,Scoped Purple System
from-yellow-400,1,1,Semantic Status / Warning
from-yellow-600,1,1,Semantic Status / Warning
from-zinc-800,1,1,Legacy Surface / Neutral
from-zinc-900,1,1,Legacy Surface / Neutral
ring-fuchsia-500,1,1,Scoped Purple System
ring-green-500,1,1,Finance Positive / Legacy Green
ring-orange-500,1,1,Semantic Status / Warning
text-cyan-200,1,1,Informational Accent
text-cyan-700,1,1,Informational Accent
text-cyan-800,1,1,Informational Accent
text-emerald-50,1,1,Finance Positive / Legacy Green
text-gray-900,1,1,Legacy Surface / Neutral
text-orange-700,1,1,Semantic Status / Warning
text-orange-800,1,1,Semantic Status / Warning
text-purple-800,1,1,Scoped Purple System
text-red-800,1,1,Semantic Status / Warning
text-rose-500,1,1,Semantic Status / Warning
text-rose-800,1,1,Semantic Status / Warning
text-slate-50,1,1,Legacy Surface / Neutral
text-teal-800,1,1,Finance Positive / Legacy Green
text-violet-500,1,1,Scoped Purple System
text-violet-800,1,1,Scoped Purple System
text-yellow-200,1,1,Semantic Status / Warning
text-yellow-800,1,1,Semantic Status / Warning
text-zinc-100,1,1,Legacy Surface / Neutral
to-amber-950,1,1,Semantic Status / Warning
to-blue-950,1,1,Informational Accent
to-cyan-700,1,1,Informational Accent
to-cyan-800,1,1,Informational Accent
to-emerald-50,1,1,Finance Positive / Legacy Green
to-fuchsia-400,1,1,Scoped Purple System
to-fuchsia-950,1,1,Scoped Purple System
to-gray-300,1,1,Legacy Surface / Neutral
to-gray-400,1,1,Legacy Surface / Neutral
to-gray-500,1,1,Legacy Surface / Neutral
to-gray-700,1,1,Legacy Surface / Neutral
to-gray-950,1,1,Legacy Surface / Neutral
to-green-400,1,1,Finance Positive / Legacy Green
to-green-700,1,1,Finance Positive / Legacy Green
to-green-800,1,1,Finance Positive / Legacy Green
to-orange-400,1,1,Semantic Status / Warning
to-purple-950,1,1,Scoped Purple System
to-rose-400,1,1,Semantic Status / Warning
to-rose-700,1,1,Semantic Status / Warning
to-sky-600,1,1,Informational Accent
to-slate-400,1,1,Legacy Surface / Neutral
to-slate-950,1,1,Legacy Surface / Neutral
to-violet-400,1,1,Scoped Purple System
to-violet-700,1,1,Scoped Purple System
to-yellow-300,1,1,Semantic Status / Warning
to-yellow-50,1,1,Semantic Status / Warning
to-yellow-800,1,1,Semantic Status / Warning
to-zinc-700,1,1,Legacy Surface / Neutral
to-zinc-900,1,1,Legacy Surface / Neutral
via-amber-900,1,1,Semantic Status / Warning
via-amber-950,1,1,Semantic Status / Warning
via-blue-400,1,1,Informational Accent
via-blue-500,1,1,Informational Accent
via-blue-800,1,1,Informational Accent
via-cyan-500,1,1,Informational Accent
via-green-500,1,1,Finance Positive / Legacy Green
via-green-800,1,1,Finance Positive / Legacy Green
via-orange-800,1,1,Semantic Status / Warning
via-purple-800,1,1,Scoped Purple System
via-purple-900,1,1,Scoped Purple System
via-purple-950,1,1,Scoped Purple System
via-red-900,1,1,Semantic Status / Warning
via-red-950,1,1,Semantic Status / Warning
via-sky-950,1,1,Informational Accent
via-slate-800,1,1,Legacy Surface / Neutral
via-teal-900,1,1,Finance Positive / Legacy Green
via-teal-950,1,1,Finance Positive / Legacy Green
via-violet-500,1,1,Scoped Purple System
via-violet-950,1,1,Scoped Purple System
via-yellow-950,1,1,Semantic Status / Warning
via-zinc-900,1,1,Legacy Surface / Neutral
